"Frequency (/s)","Img: unnamed","Real: unnamed"
272.9975181818182,-1.9652239143944246E-4,-1.6260123081086303E-4
273.9975090909091,-2.0028578532927836E-4,-1.6373131618295007E-4
274.9975,-2.0429504567622092E-4,-1.6498255050850322E-4
275.9974909090909,-2.0857939843983903E-4,-1.663716137161652E-4
276.9974818181818,-2.1317302789573896E-4,-1.6791821030069778E-4
277.99747272727274,-2.1811618998730922E-4,-1.696457701030226E-4
278.99746363636365,-2.234566419276158E-4,-1.715823511097882E-4
279.99745454545456,-2.292514984262145E-4,-1.7376181526452302E-4
280.99744545454547,-2.3556967133356576E-4,-1.7622537823042827E-4
281.9974363636364,-2.4249511909103878E-4,-1.7902367896606902E-4
282.9974272727273,-2.5013123880548446E-4,-1.8221958370824058E-4
283.9974181818182,-2.586069000320988E-4,-1.8589204634024547E-4
284.9974090909091,-2.6808488531149504E-4,-1.9014151898843234E-4
285.99739999999997,-2.7877393939914605E-4,-1.950976890279744E-4
286.9973909090909,-2.909463683358231E-4,-2.0093079650332476E-4
287.9973818181818,-3.049644229565303E-4,-2.0786862216660244E-4
288.9973727272727,-3.213210527715855E-4,-2.1622275660076394E-4
289.9973636363636,-3.407050829926773E-4,-2.2643064919157036E-4
290.9973545454545,-3.641097995837343E-4,-2.3912571162905063E-4
291.99734545454544,-3.930229042312509E-4,-2.552600225153272E-4
292.99733636363635,-4.297791671914183E-4,-2.763322240496452E-4
293.99732727272726,-4.782654909039904E-4,-3.0484329428215307E-4
294.9973181818182,-5.454714675743436E-4,-3.4529906988229524E-4
295.9973090909091,-6.453640005230062E-4,-4.067157176416325E-4
296.9973,-8.105038167855733E-4,-5.101319129085131E-4
297.9972909090909,-0.0011384634688121518,-7.186274583362778E-4
298.9972818181818,-0.0021159943403875696,-0.001346965241315415
299.99727272727273,-0.7181034185823715,-0.46438005646872077
300.99726363636364,0.0017945624680871346,0.001190569550936632
301.99725454545455,8.084644040503046E-4,5.576121965936267E-4
